score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,decydent,notatki,flagi
10,✓,Chorwacja,HR,HR-B-001,TDR d.o.o. (Tvornica duhana Rovinj / BAT Adria),Rovinj,B8,producent,4,duży,🟢,B2B ogólnokrajowy,info@tdr.hr,+385 52 801 000,https://tdr.hr,Zvonko Kolobara,Największy producent i dystrybutor wyrobów tytoniowych w Chorwacji i regionie Adria (część BAT Adria).,2026-08-31 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-002,TISAK PLUS d.o.o. (Tisak / Fortenova Grupa),Zagreb,B8,hurtownik,4,duży,🟢,B2B + sieć 1400+ kiosków,info@tisak.hr,+385 1 2413 100,https://www.tisak.hr,Danko Duhović,Największy chorwacki dystrybutor tiskowin i wyrobów tytoniowych z siecią ponad 1400 punktów sprzedaży.,2026-08-31 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-003,iNOVINE d.d. (BAT Adria Network),Zagreb,B8,hurtownik,4,duży,🟢,B2B + sieć kiosków,info@inovine.hr,+385 1 4596 200,https://inovine.hr,Uprava,"Druga największa sieć dystrybucyjna i kiosków tytoniowych w Chorwacji, działająca w strukturach BAT Adria.",2026-08-31 ✅ FROZEN (API)
10,✓,Chorwacja,HR,HR-B-007,ROX d.o.o.,Zagreb,B8,hurtownik,4,duży,🟢,B2B ogólnokrajowy,info@rox.hr,+385 1 2415 000,https://rox.hr,Direktor,Duży dystrybutor hurtowy FMCG z dedykowanym działem akcesoriów dla palaczy i zapalniczek w Zagrzebiu.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-004,JT INTERNATIONAL ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,zagreb.office@jti.com,+385 1 6005 600,https://www.jti.com,Tomaz Maver,Chorwackie ramię dystrybucyjne koncernu Japan Tobacco International (JTI).,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-005,PHILIP MORRIS ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,contact.zagreb@pmi.com,+385 1 6160 600,https://www.pmi.com,Anita Letica,Chorwackie ramię dystrybucyjne Philip Morris International.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-006,HRVATSKI DUHANI d.d.,Virovitica,B8,producent,3,duży,🟢,B2B przemysłowy,info@hrvatskiduhani.hr,+385 33 803 000,https://www.hrvatskiduhani.hr,Aleksandra Grigić,"Największa chorwacka firma zajmująca się uprawą, skupem i pierwotną obróbką tytoniu (część grupy BAT).",2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-008,ORBICO d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,info.croatia@orbico.com,+385 1 3444 800,https://www.orbico.hr,Uprava / Branko Roglić,Największy niezależny operator logistyczno-dystrybucyjny w Europie Środkowo-Wschodniej (Grupa Orbico) z rozbudowaną logistyką tytoniową i FMCG w Chorwacji.,2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-009,ATLANTIC TRADE d.o.o. (Atlantic Grupa),Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,kontakt@atlanticgrupa.com,+385 1 2413 900,https://www.atlanticgrupa.com,Uprava / Emil Tedeschi,"Główne ramię dystrybucyjne Atlantic Grupy obsługujące ogólnokrajową sieć punktów sprzedaży detalicznej, stacji paliw i kiosków.",2026-08-31 ✅ FROZEN (API)
9,✓,Chorwacja,HR,HR-B-010,ALCA ZAGREB d.o.o.,Zagreb,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,alca@alca.hr,+385 1 2481 111,https://www.alca.hr,Uprava,Wiodąca firma logistyczno-dystrybucyjna w Chorwacji reprezentująca międzynarodowe marki FMCG i artykułów konsumpcyjnych.,2026-08-31 ✅ FROZEN (API)
4,,Chorwacja,HR,HR-B-011,EUROTRADE d.o.o.,Rovinj,B8,hurtownik,3,duży,🟢,B2B regionalny,info@eurotrade.hr,+385 52 803 600,https://www.eurotrade.hr,Direktor,Duży regionalny dystrybutor w Rovinj z zasięgiem na całą Istrię i północne wybrzeże Chorwacji.,2026-08-31 ✅ FROZEN (API)
