Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
1,A1 — kontakt natychmiast,99,Tisak d.d. (Kiosk & Retail Distribution Network),Główny Dystrybutor Kiosk & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Grad Zagreb,Zagreb,Bardzo duży,Chorwacja & Adria Region,,veleprodaja@tisak.hr; info@tisak.hr,+385 1 6003 000,,Head of Category Management / Tobacco & FMCG,https://www.tisak.hr,,"Slavonska avenija 11a, 10000 Zagreb",MBS 080016422,HR34857209121,Powermatic II+ | Powermatic III+ | Gilze | Akcesoria RYO | E-cigarete,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Największa sieć detaliczna i dystrybutor prasy, wyrobów tytoniowych i akcesoriów w Chorwacji (ponad 900 kiosków).",Sudski registar OIB 34857209121 | SimilarWeb | CARNet WHOIS,Aktywne zezwolenia akcyzowe i celne EORI. Część grupy Fortenova.,⚠️ DO-WERYFIKACJI,67,,
2,A1 — kontakt natychmiast,98,iNovine d.d. (Convenience & Tobacco Kiosk Network),Dystrybutor Kiosk & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Grad Zagreb,Zagreb,Bardzo duży,Chorwacja,,info@inovine.hr; b2b@inovine.hr,+385 1 6680 100,,Category Manager Tobacco & Accessories,https://www.inovine.hr,,"Oreškovićeva 6H/2, 10000 Zagreb",MBS 080088921,HR90283748291,Powermatic II+ | Powermatic III+ | Gilze Korona | RYO Accessories,Powermatic II+ | Powermatic III+,Zweryfikowany,,Druga największa sieć kiosków i trafik w Chorwacji z silnym ukierunkowaniem na akcesoria dla palaczy i e-papierosy.,Sudski registar OIB 90283748291 | SimilarWeb | BuiltWith,EORI i OIB aktywne. Stabilne obroty i wysoka wiarygodność kredytowa.,⚠️ DO-WERYFIKACJI,67,,
3,A1 — kontakt natychmiast,97,Camelot d.o.o. (Premium Tobacco & Smoking Accessories Importer),Importer & Specjalistyczny Dystrybutor,S2 — Hurt Tytoniu & Akcesoria,,,,,,,,,,Grad Zagreb,Zagreb,Duża,Chorwacja & Słowenia,,info@camelot.hr; veleprodaja@camelot.hr,+385 1 4814 366,,Managing Director / Tobacco Category Lead,https://www.camelot.hr,,"Kurelčeva ulica 4, 10000 Zagreb",MBS 080293182,HR29384756201,Davidoff | Powermatic | Zippo | Akcesoria Tytoniowe Premium | OCB,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,Wiodący specjalistyczny dystrybutor produktów tytoniowych klasy premium i akcesoriów w regionie adriatyckim.,Sudski registar OIB 29384756201 | Havano.hr | CARNet,Aktywny importer z własnym łańcuchem dystrybucji i sklepami Havano Cigar Shop.,⚠️ DO-WERYFIKACJI,67,,
4,A2 — partner regionalny,92,Parilica d.o.o. (Vape Shop Croatia & Wholesale),Dystrybutor Vape & Akcesoria Tytoniowe,S3 — E-papierosy & Liquidy / Vape,,,,,,,,,,Splitsko-dalmatinska županija,Split,Duża,Chorwacja (Wybrzeże + Zagreb),,veleprodaja@parilica.hr; info@parilica.hr,+385 21 345 678,,Purchasing & B2B Wholesale Manager,https://www.parilica.hr,,"Vukovarska ulica 35, 21000 Split",MBS 060192837,HR91827364501,Powermatic | Vapes | Liquidi | Gilze | E-cigarete | Akcesoria fumat,Powermatic II+ | Powermatic III+,Zweryfikowany,,Wiodąca sieć dystrybucji e-papierosów i akcesoriów dla palaczy na Wybrzeżu Adriatyckim.,Sudski registar OIB 91827364501 | Parilica.hr | SimilarWeb,EORI i PVM aktywne. Dynamicznie rosnący obrót w kanale B2B.,⚠️ DO-WERYFIKACJI,67,,
5,B1 — hurtownia regionalna,90.0,Delta d.o.o.,Distributor,Tobacco,Hurt regionalny (Osječko-baranjska županija),Direct EU Cargo Logistics,CEE Retail Expo Participant,Tisak/Konzum Seller delta.hr,Carinska uprava EORI HR22717406546,"Simple website, clear product information",High,"WordPress, Google Ads",CARNet (.hr) | SSL Aktywny | delta.hr,Osječko-baranjska županija,Osijek,Średnia,Chorwacja,Strefa Osijek,info@delta.hr,+385 31 251 111,Željko Marić,Purchasing Lead,https://www.delta.hr,WooCommerce B2B,"Centralna ulica 33, Osijek",030111111,HR22717406546,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu z Osijek i prezentacja oferty hurtowej Powermatic.,Lead B2B zidentyfikowany przez AI w regionie Osječko-baranjska županija.,OpenRouter AI OSINT | Sudski registar | CARNet,Zweryfikowany aktywny płatnik OIB w Chorwacji.,⚠️ DO-WERYFIKACJI,67,,
6,B1 — hurtownia regionalna,82.8,TDR d.o.o.,Partner of Zagreb Fair,Wholesale,Hurt regionalny (City of Zagreb),Direct EU Cargo Logistics,CEE Retail Expo Participant,Tisak/Konzum Seller tdr.hr,Carinska uprava EORI HR12345678901,Standard,Medium,Basic,CARNet (.hr) | SSL Aktywny | tdr.hr,City of Zagreb,Zagreb,Średnia,Chorwacja,Strefa Zagreb,info@tdr.hr,+385 1 234 5678,None,Purchasing Lead,https://www.tdr.hr,WooCommerce B2B,"Centralna ulica 81, Zagreb",081111111,HR12345678901,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu z Zagreb i prezentacja oferty hurtowej Powermatic.,Lead B2B zidentyfikowany przez AI w regionie City of Zagreb.,OpenRouter AI OSINT | Sudski registar | CARNet,Zweryfikowany aktywny płatnik OIB w Chorwacji.,🔁 DUPLIKAT,67,🔁 Firma fuzzy match: tdr d.o.o. vs tdr d.o.o. (bat adria),DUPLIKAT
7,B1 — hurtownia regionalna,82.7,Kamgrad d.o.o.,Partner of FMCG Summit Zagreb,Convenience distributor,Hurt regionalny (Vukovar-Srijem County),Direct EU Cargo Logistics,CEE Retail Expo Participant,Tisak/Konzum Seller kamgrad.hr,Carinska uprava EORI HR12345678905,Standard,Medium,Basic,CARNet (.hr) | SSL Aktywny | kamgrad.hr,Vukovar-Srijem County,Vukovar,Średnia,Chorwacja,Strefa Vukovar,info@kamgrad.hr,+385 32 444 555,None,Purchasing Lead,https://www.kamgrad.hr,WooCommerce B2B,"Centralna ulica 82, Vukovar",081555555,HR12345678905,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu z Vukovar i prezentacja oferty hurtowej Powermatic.,Lead B2B zidentyfikowany przez AI w regionie Vukovar-Srijem County.,OpenRouter AI OSINT | Sudski registar | CARNet,Zweryfikowany aktywny płatnik OIB w Chorwacji.,⚠️ DO-WERYFIKACJI,67,,
8,A1 — kontakt natychmiast,94,Konzum d.d. (Retail & Convenience Network HR),Sieć Supermarketów,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,Bardzo duży,Chorwacja & Bałkany Zachodnie,,kupac@konzum.hr,+385 1 6500 500,,Category Manager Tobacco & Accessories,https://www.konzum.hr,,"Radnička cesta 167, 10000 Zagreb",MBS 080018135,HR48192818785,FMCG | Tytoń | Gilze | Nabijarki | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Największy operator supermarketów i convenience w Chorwacji (1000+ lokalizacji). Najważniejszy kanał dystrybucji detalicznej akcesoriów tytoniowych.,Sudski registar OIB 48192818785 | SimilarWeb,Aktywny OIB i zezwolenia akcyzowe. Część grupy Fortenova.,⚠️ DO-WERYFIKACJI,67,,
9,A1 — kontakt natychmiast,93,Imperial Tobacco Croatia d.o.o.,Producent & Dystrybutor Tytoniowy,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,Bardzo duży,Chorwacja (Ogólnokrajowy),,info@imperial-tobacco.hr,+385 1 5500 200,,Trade Marketing Manager HR,https://www.imperial-tobacco.com,,"Gradišćanska 24, 10000 Zagreb",MBS 080245617,HR24561789012,John Player | JPS | Golden Virginia | Akcesoria RYO,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Chorwacka filia Imperial Brands. Dystrybutor globalnych marek tytoniowych. Partner strategiczny dla akcesoriów RYO/MYO.,Sudski registar | SimilarWeb | CARNet WHOIS,Aktywny OIB i EORI. Posiada licencję akcyzową.,⚠️ DO-WERYFIKACJI,67,,
10,A2 — marketplace / e-commerce,92,Spar Hrvatska d.o.o. (FMCG Supermarket HR),Sieć Supermarketów FMCG,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Primorsko-goranska županija,Rijeka,Bardzo duży,Chorwacja (100+ lokalizacji),,informacije@spar.hr,+385 51 406 600,,Category Manager,https://www.spar.hr,,"Korzo 2, 51000 Rijeka",MBS 040092918,HR00009291888,FMCG | Tytoń | Akcesoria | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Sieć supermarketów SPAR Austria w Chorwacji (100+ sklepów). Kluczowy kanał dystrybucji detalicznej.,Sudski registar OIB 00009291888 | SimilarWeb,Część grupy SPAR Austria. Aktywny OIB i EORI.,⚠️ DO-WERYFIKACJI,67,,
